keyword,period_type,period_value,weight
"Tiramisu Fragole",month,june,2.0
"Crema Limone",month,june,1.9
"Lemon Meringue",month,june,1.8
"Crostatine Fragole",month,june,1.8
"Pasta Fredda",month,june,1.7
"Asparagi Burrata",month,june,1.7
"Insalata Ceci",month,june,1.6
"Zucchine Croccanti",month,june,1.6
"Pomodorini Arrosto",month,june,1.5
"Salmone Rucola",month,june,1.5
"Dessert Fresco",season,summer,1.8
"Dolce Fresco",season,summer,1.8
"Fragole Crema",season,summer,1.7
"Limone Ricetta",season,summer,1.7
"Pasta Fredda",season,summer,1.7
"Ricetta Fresca",season,summer,1.6
"Asparagi Pomodorini",season,summer,1.5
"Zucchine Ricetta",season,summer,1.5
"Calamari Gratinati",season,summer,1.4
"Gamberi Spinaci",season,summer,1.4
"Focaccia Barese",season,summer,1.3
"Bruschetta Burrata",season,summer,1.3
